1234,16:30:45,2137,F,ASCENT,850.3,25.5,102.6,4.0,0.11,0.79,3.15,-1.25,-1.34,-0.98,-0.71,16:30:45,851.6,-33.00399,-66.00002,11,NONE,,telemetry
1234,16:30:46,2138,F,ASCENT,84.8,16.6,100.0,4.2,0.9,3.17,-1.54,2.28,-1.86,1.69,1.83,16:30:46,86.5,-33.004156,-66.00763,5,NONE,,telemetry
1234,16:30:47,2139,F,ASCENT,587.5,24.5,98.3,4.1,0.25,-0.4,0.13,-1.92,0.54,1.15,1.72,16:30:47,582.8,-33.00147,-65.994548,10,NONE,,telemetry
1234,16:30:48,2140,F,ASCENT,110.9,31.9,100.1,3.8,0.81,-2.54,0.59,-0.18,-1.77,0.91,-0.77,16:30:48,106.0,-32.99352,-66.00986,10,NONE,,telemetry
1234,16:30:49,2141,F,ASCENT,244.1,14.0,104.8,3.8,0.65,2.52,-4.96,-4.36,0.72,-0.59,1.62,16:30:49,247.8,-33.002976,-66.00064,6,NONE,,telemetry
1234,16:30:50,2142,F,ASCENT,517.3,16.3,95.3,4.1,0.14,2.45,-1.89,3.83,0.65,1.07,0.3,16:30:50,520.6,-32.996564,-65.99218,5,NONE,,telemetry
1234,16:30:51,2143,F,ASCENT,840.3,20.6,96.6,4.2,0.25,-4.43,3.18,-4.91,1.18,1.15,0.79,16:30:51,835.6,-32.992382,-66.00408,5,NONE,,telemetry
1234,16:30:52,2144,F,ASCENT,60.1,11.2,97.4,4.1,0.66,0.15,-1.92,2.59,-0.13,-0.11,-1.08,16:30:52,60.6,-32.998644,-66.00357,9,NONE,,telemetry
1234,16:30:53,2145,F,ASCENT,595.6,12.9,103.9,4.1,0.71,2.53,-3.19,4.97,-1.52,-1.83,1.81,16:30:53,597.1,-33.003244,-65.99863,10,NONE,,telemetry
1234,16:30:54,2146,F,ASCENT,252.0,11.0,97.8,3.7,0.73,0.67,-3.17,-1.05,0.2,1.7,-0.52,16:30:54,255.9,-33.001204,-66.00903,9,NONE,,telemetry
1234,16:30:55,2147,F,ASCENT,40.0,11.5,103.6,4.1,0.74,-2.24,-2.14,0.73,-0.33,0.34,0.23,16:30:55,40.6,-32.99173,-65.99169,11,NONE,,telemetry
1234,16:30:56,2148,F,ASCENT,45.9,25.9,100.5,4.0,0.47,4.7,1.91,0.45,1.57,0.5,0.98,16:30:56,47.6,-33.004244,-65.99322,12,NONE,,telemetry
1234,16:30:57,2149,F,ASCENT,910.3,33.4,101.1,4.0,0.27,-3.52,2.68,-3.81,0.75,1.73,-1.52,16:30:57,909.6,-32.99764,-66.00033,11,NONE,,telemetry
1234,16:30:58,2150,F,ASCENT,888.2,25.2,99.5,4.1,0.25,-0.1,-3.46,2.38,0.9,0.02,0.3,16:30:58,891.6,-32.993444,-66.00841,7,NONE,,telemetry
1234,16:30:59,2151,F,ASCENT,709.0,27.4,97.6,3.9,0.76,3.82,1.64,-0.29,-1.71,1.29,-0.45,16:30:59,711.0,-33.006134,-65.995184,10,NONE,,telemetry
1234,16:31:00,2152,F,ASCENT,781.4,30.2,104.4,4.0,0.14,2.72,4.9,-2.97,0.65,-0.85,-1.96,16:31:00,786.0,-33.008328,-65.996124,5,NONE,,telemetry
1234,16:31:01,2153,F,ASCENT,675.2,25.2,103.5,3.8,0.8,-1.13,-2.17,4.6,1.72,-1.6,-1.25,16:31:01,677.9,-32.994336,-66.000308,12,NONE,,telemetry
1234,16:31:02,2154,F,ASCENT,583.8,18.9,97.6,3.7,0.48,3.89,-0.93,-4.74,1.83,1.8,0.72,16:31:02,584.9,-33.008568,-65.9929,10,NONE,,telemetry
1234,16:31:03,2155,F,ASCENT,925.0,15.0,98.8,4.1,0.47,3.31,-4.17,0.7,-1.02,-1.47,-0.4,16:31:03,927.9,-32.991932,-66.00251,7,NONE,,telemetry
1234,16:31:04,2156,F,ASCENT,20.3,28.2,101.1,3.9,0.42,-2.59,-4.33,2.65,-1.64,0.35,-0.26,16:31:04,17.0,-32.993668,-66.000208,7,NONE,,telemetry
1234,16:31:05,2157,F,ASCENT,698.3,13.8,102.2,3.7,0.25,4.48,-1.3,-2.89,1.64,-1.08,1.36,16:31:05,696.7,-33.003924,-66.00012,6,NONE,,telemetry
1234,16:31:06,2158,F,ASCENT,751.4,30.0,104.6,4.0,0.61,-2.02,-0.56,1.6,-0.9,-1.86,0.46,16:31:06,755.6,-32.999696,-65.996824,12,NONE,,telemetry
1234,16:31:07,2159,F,ASCENT,682.7,34.6,101.4,4.1,0.55,-4.95,3.69,-2.14,0.14,0.85,1.78,16:31:07,682.2,-33.001924,-66.00184,10,NONE,,telemetry
1234,16:31:08,2160,F,ASCENT,830.6,31.4,104.2,4.1,0.38,-3.4,3.46,-2.17,1.73,-0.23,0.32,16:31:08,835.4,-32.997968,-65.99664,6,NONE,,telemetry
1234,16:31:09,2161,F,ASCENT,874.4,27.9,98.2,4.2,0.94,-3.01,1.43,3.1,1.46,-0.2,-0.87,16:31:09,873.7,-32.99023,-65.99706,5,NONE,,telemetry
1234,16:31:10,2162,F,ASCENT,391.0,32.5,97.4,4.0,0.33,1.5,4.71,3.32,-0.35,-0.44,1.89,16:31:10,392.7,-32.990916,-65.99436,12,NONE,,telemetry
1234,16:31:11,2163,F,ASCENT,93.9,29.2,95.4,3.8,0.25,2.91,-3.9,0.41,-1.01,1.67,1.42,16:31:11,94.8,-32.99469,-66.0016,9,NONE,,telemetry
1234,16:31:12,2164,F,ASCENT,793.3,27.5,95.3,4.1,0.18,-4.86,1.3,1.12,0.54,-1.8,0.28,16:31:12,790.9,-33.00722,-66.00601,5,NONE,,telemetry
1234,16:31:13,2165,F,ASCENT,157.6,16.2,104.6,4.2,0.28,-4.81,3.39,-2.09,-0.49,1.34,-1.87,16:31:13,152.9,-32.99772,-66.003684,10,NONE,,telemetry
1234,16:31:14,2166,F,ASCENT,611.6,34.3,100.1,4.1,0.75,-2.56,2.38,2.5,-1.38,-1.16,-1.57,16:31:14,614.7,-32.992696,-65.99071,5,NONE,,telemetry
1234,16:31:15,2167,F,ASCENT,633.7,31.5,97.0,3.7,0.69,-3.88,2.27,-4.29,-1.94,-0.4,1.94,16:31:15,630.2,-32.99541,-66.00078,8,NONE,,telemetry
1234,16:31:16,2168,F,ASCENT,562.1,32.4,101.0,4.0,0.17,2.41,-0.99,-1.56,-0.59,0.75,1.63,16:31:16,559.2,-33.00583,-66.00165,8,NONE,,telemetry
1234,16:31:17,2169,F,ASCENT,40.4,13.7,98.6,3.8,0.99,1.28,2.39,4.39,1.04,1.78,1.32,16:31:17,44.6,-32.99188,-65.99401,10,NONE,,telemetry
1234,16:31:18,2170,F,ASCENT,284.9,20.9,101.6,4.0,0.31,1.44,4.62,4.5,1.23,-1.77,-1.85,16:31:18,283.4,-32.990076,-65.998316,8,NONE,,telemetry
1234,16:31:19,2171,F,ASCENT,73.8,22.9,101.3,4.0,0.14,-1.03,-0.52,-3.56,-0.99,-0.44,0.3,16:31:19,77.1,-32.991864,-65.99948,9,NONE,,telemetry
